"drug_name"	"original_smiles"
"ZOPOLRESTAT"	"OC(=O)CC1=NN(Cc2nc3cc(ccc3s2)C(F)(F)F)C(=O)c4ccccc14"
"PIMOZIDE"	"Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5"
"DINOPROSTONE"	"CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(=O)O"
"CHEMBL414173"	"CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CCC(=O)N)C(=O)N4CCC[C@H]4C(=O)N[C@@H](Cc5ccccc5)C(=O)O"
"CHEMBL439780"	"CC1(C)CCC(C)(C)c2c(Br)c(O)c(cc12)C(=O)Nc3cc(F)c(C(=O)O)c(F)c3"
"CYCLOPENTOLATE"	"CN(C)CCOC(=O)C(c1ccccc1)C2(O)CCCC2"
"CHEMBL1697690"	"CCCNCCc1ccc(NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1"
"DACTOLISIB"	"CN1C(=O)N(c2ccc(cc2)C(C)(C)C#N)c3c1cnc4ccc(cc34)c5cnc6ccccc6c5"
"ARECOLINE"	"COC(=O)C1=CCCN(C)C1"
"COPANLISIB"	"COc1c(OCCCN2CCOCC2)ccc3C4=NCCN4C(=Nc13)NC(=O)c5cnc(N)nc5"
"FLUPENTIXOL"	"OCCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1"
"REGADENOSON"	"CNC(=O)c1cnn(c1)c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2"
"PIRETANIDE"	"NS(=O)(=O)c1cc(cc(N2CCCC2)c1Oc3ccccc3)C(=O)O"
"CHEMBL2023109"	"CC(C)(O)c1onc(n1)c2cccc3Nc4nc(ccc4CN(c23)S(=O)(=O)c5ccc(OC(F)(F)F)cc5)C(F)(F)F"
"RILUZOLE"	"Nc1nc2ccc(OC(F)(F)F)cc2s1"
"SAXITOXIN"	"NC(=O)OC[C@@H]1N=C(N)N2CCC(O)(O)[C@@]23NC(=N[C@@H]13)N"
"HYPERFORIN"	"CC(C)C(=O)[C@@]12C(=O)C(=C(O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O)CC=C(C)C"
"PRASUGREL"	"CC(=O)Oc1cc2CN(CCc2s1)C(C(=O)C3CC3)c4ccccc4F"
"CHEMBL228528"	"[Na+].CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(c2ccc(F)cc2)c3c4ccccc4N(C(=O)c13)c5cccc(F)c5"
"ENTINOSTAT"	"Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2"
"LURASIDONE HYDROCHLORIDE"	"Cl.O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]4CCCC[C@H]4CN5CCN(CC5)c6nsc7ccccc67"
"TELATINIB"	"CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c4ccoc24)ccn1"
"CHEMBL2153161"	"CC(C)CS(=O)(=O)C[C@H](NC(=O)c1ccccc1)C(=O)N(C)N(C)C#N"
"GANDOTINIB"	"Cc1cc(Nc2cc(CN3CCOCC3)c4nc(C)c(Cc5ccc(Cl)cc5F)n4n2)n[nH]1"
"PROPANTHELINE"	"CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc3ccccc13)C(C)C"
"CHEMBL1234624"	"OS(=O)(=O)c1ccc2ccccc2c1"
"CHEMBL1080588"	"FC(F)c1ncn2c1Cn3ncnc3c4cc(Br)ccc24"
"NIACINAMIDE"	"NC(=O)c1cccnc1"
"INCB-9471"	"CCO[C@@H]1Cc2cc(ccc2[C@H]1N3CCN(C[C@@H]3C)C4(C)CCN(CC4)C(=O)c5c(C)ncnc5C)C(F)(F)F"
"CHLOROQUINE"	"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12"
"ENMD-2076"	"CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2"
"MASITINIB"	"CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nc(cs4)c5cccnc5)c3)CC1"
"CHEMBL116590"	"CN1C2CCC1CC(C2)OC(c3ccccc3)c4ccccc4"
"THIAMYLAL"	"CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)S"
"CLOZAPINE"	"CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24"
"SELFOTEL"	"OC(=O)[C@@H]1C[C@H](CP(=O)(O)O)CCN1"
"AMANTADINE HYDROCHLORIDE"	"Cl.NC12CC3CC(CC(C3)C1)C2"
"THEOPHYLLINE"	"CN1C(=O)N(C)c2nc[nH]c2C1=O"
"PYRIMETHAMINE"	"CCc1nc(N)nc(N)c1c2ccc(Cl)cc2"
"CHEMBL130499"	"COc1ccc(cc1)C(=O)Nc2nc(nc3ccccc23)c4ccccn4"
"SKF-38393"	"Oc1cc2CCNCC(c3ccccc3)c2cc1O"
"CHEMBL410596"	"CC(C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@H](N)Cc5ccccc5)C(=O)N[C@@H](Cc6ccccc6)C(=O)N[C@H](Cc7ccc8ccccc8c7)C(=O)N"
"CABERGOLINE"	"CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1"
"THIORIDAZINE"	"CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1"
"BORTEZOMIB"	"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O"
"FLUVOXAMINE"	"COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F"
"NEFAZODONE"	"CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4"
"LIXIVAPTAN"	"Cc1ccc(F)cc1C(=O)Nc2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2"
"RIBAVIRIN"	"NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O"
"ACLARUBICIN"	"CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)c5c(O)c6C(=O)c7c(O)cccc7C(=O)c6cc5[C@H]1C(=O)OC"
"CHEMBL464651"	"C[C@@H](CCC\C(=C\CCC(C)(O)CCCc1cocc1)\C)\C=C\2/OC(=O)C(=C2O)C"
"DIHYDROKAINATE"	"CC(C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O"
"DESLANOSIDE"	"C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](C)O3)[C@@H](C)O2)O[C@H]5CC[C@@]6(C)[C@H](CC[C@@H]7[C@@H]6C[C@@H](O)[C@]8(C)[C@H](CC[C@]78O)C9=CC(=O)OC9)C5"
"CHEMBL1207374"	"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(=O)(O)O)n2cnc3C(=O)NC=Nc23"
"SOTAGLIFLOZIN"	"CCOc1ccc(Cc2cc(ccc2Cl)[C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)cc1"
"MIBEFRADIL"	"COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C"
"NINTEDANIB"	"COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1"
"CILENGITIDE"	"CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O"
"INFIGRATINIB"	"CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2"
"TOTROMBOPAG"	"CC1=NN(C(=O)/C/1=N\Nc2cccc(c2O)c3cccc(c3)c4nnn[nH]4)c5ccc(C)c(C)c5"
"CHEMBL257167"	"NC(=O)Nc1sc(cc1C(=O)N)c2ccc(F)cc2"
"PIRLINDOLE"	"Cc1ccc2c(c1)c3CCCC4NCCn2c34"
"PONATINIB"	"CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc4cnc5cccnn45)cc2C(F)(F)F)CC1"
"MIFEPRISTONE"	"CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C"
"ZOTEPINE"	"CN(C)CCOC1=Cc2ccccc2Sc3ccc(Cl)cc13"
"AZD-4547"	"COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N4CC(C)NC(C)C4)n[nH]2)cc(OC)c1"
"QUINPIROLE"	"CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12"
"THIORIDAZINE"	"CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1"
"BETAXOLOL"	"CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1"
"ANDROSTENEDIONE"	"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O"
"CHEMBL1332062"	"CCCN(CCC)CCc1c[nH]c2ccc(cc12)C(=O)N"
"CHEMBL34155"	"OS(=O)(=O)C1CCNCC1"
"SORAFENIB"	"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1"
"IODIPAMIDE"	"OC(=O)c1c(I)cc(I)c(NC(=O)CCCCC(=O)Nc2c(I)cc(I)c(C(=O)O)c2I)c1I"
"MUSCIMOL"	"NCc1onc(O)c1"
"YOHIMBINE HYDROCHLORIDE"	"Cl.COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12"
"QUISINOSTAT"	"Cn1cc(CNCC2CCN(CC2)c3ncc(cn3)C(=O)NO)c4ccccc14"
"LY-294002"	"O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4"
"CHEMBL2164602"	"Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccnc4)c2)cc1"
"TAUROCHOLIC ACID"	"[Na+].C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C"
"CHIR-99021"	"Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(cn3)C#N)nc2c4ccc(Cl)cc4Cl"
"REGORAFENIB"	"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1"
"CHLOROGUANIDE"	"CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1"
"OBATOCLAX"	"COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3"
"ILOMASTAT"	"CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO"
"BENZTROPINE MESYLATE"	"CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4.CS(=O)(=O)O"
"FOSTAMATINIB"	"COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)N(COP(=O)(O)O)c4n3)n2)cc(OC)c1OC"
"AZD2207"	"C[C@@H](NC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2cccc[n+]2O)[n+]1O)c3cccc(Cl)c3"
"QUISINOSTAT"	"Cn1cc(CNCC2CCN(CC2)c3ncc(cn3)C(=O)NO)c4ccccc14"
"CHEMBL597557"	"CC(C)CNCc1ccccc1NC(=O)OCC(Oc2cccc3sc(cc23)C(=N)N)c4ccccc4"
"AEE-788"	"CCN1CCN(Cc2ccc(cc2)c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)CC1"
"CHEMBL1081913"	"CC(C)(C)OC(=O)N1CCC(CC1)OCc2onc(n2)c3ccncc3"
"INDIRUBIN SULFATE"	"COc1ccc2NC(=O)\C(=C/c3cnc[nH]3)\c2c1"
"CHEMBL566340"	"CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc2ccc(cc2)C(=N)N"
"SODIUM PHENYLBUTYRATE"	"[Na+].[O-]C(=O)CCCc1ccccc1"
"APOMORPHINE"	"CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34"
"CHEMBL99951"	"NC(=N)c1ccc2nc(Cc3nc4ccc(cc4[nH]3)C(=N)N)[nH]c2c1"
"VS-5584"	"Fc1ccc2ncn(c3ncc4NC(=O)N([C@@H]5CCOc6c(F)cccc56)c4n3)c2c1"
"METFORMIN"	"CN(C)C(=N)NC(=N)N"
"TIVANTINIB"	"O=C1NC(=O)[C@H]([C@@H]1c2c[nH]c3ccccc23)c4cn5CCCc6cccc4c56"
"DIPHENHYDRAMINE"	"CN(C)CCOC(c1ccccc1)c2ccccc2"
"BMS-911543"	"CCn1c(cc2c1nc(Nc3cc(C)n(C)n3)c4ncn(C)c24)C(=O)N(C5CC5)C6CC6"
"CANDESARTAN"	"CCOc1nc2cccc(C(=O)O)c2n1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5"
"SITAXENTAN"	"Cc1cc2OCOc2cc1CC(=O)c3sccc3S(=O)(=O)Nc4onc(C)c4Cl"
"CHEMBL410873"	"CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@@H]([C@@H](O)[C@H]3O)C(=O)NCC)c2n1"
"HEPTANOATE"	"CCCCCCC(=O)O"
"CHEMBL480249"	"CN(Cc1c(nc2ccccc2c1C(=O)N[C@@H](C3CC3)c4ccccc4)c5ccccc5)S(=O)(=O)C"
"NINTEDANIB"	"COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1"
"CABERGOLINE"	"CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1"
"BICARBONATE"	"OC(=O)O"
"PANOBINOSTAT"	"Cc1[nH]c2ccccc2c1CCNCc3ccc(\C=C\C(=O)NO)cc3"
"A-443654"	"Cc1n[nH]c2ccc(cc12)c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3"
"TELOTRISTAT ETHYL"	"CCOC(=O)[C@@H](N)Cc1ccc(cc1)c2cc(O[C@H](c3ccc(Cl)cc3n4ccc(C)n4)C(F)(F)F)nc(N)n2"
"CHEMBL33884"	"Cn1cc(C(=O)OCC2CCN(CCNS(=O)(=O)C)CC2)c3ccccc13"
"BENZONATATE"	"CCCCNc1ccc(cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC"
"CGS-21680"	"CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc23"
"PICTILISIB"	"CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1"
"TEGASEROD"	"CCCCCNC(=N)N\N=C\c1c[nH]c2ccc(OC)cc12"
"MK-8033"	"Cn1cc(cn1)c2cnc3C=Cc4ccc(CS(=O)(=O)NCc5ccccn5)cc4C(=O)c3c2"
"FARNESOL"	"CC(=CCC\C(=C\CC\C(=C\CO)\C)\C)C"
"CHEMBL1081312"	"Nc1ncnc2c1c(nn2C3CCCC3)c4cnc5[nH]ccc5c4"
"CHEMBL1802728"	"CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c4nc[nH]c4n2)cc1"
"AMODIAQUINE HYDROCHLORIDE"	"Cl.CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O"
"TRANYLCYPROMINE"	"NC1CC1c2ccccc2"
"MAPROTILINE"	"CNCCCC12CCC(c3ccccc13)c4ccccc24"
"DORSOMORPHIN"	"C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5"
"NAVITOCLAX"	"CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)S(=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7"
"TRIPELENNAMINE"	"CN(C)CCN(Cc1ccccc1)c2ccccn2"
"APOMORPHINE"	"CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34"
"GW468816"	"OC(=O)C1C\C(=C/2\CCN(C2=O)c3ccccc3)\c4ccc(Cl)cc4N1"
"CUDC-101"	"COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCCCCCC(=O)NO"
"ALUMINIUM GLYCINATE"	"[OH-].[OH-].[Al+3].NCC(=O)[O-]"
"CHEMBL415306"	"N[C@H](CCC[C@H](N)C(=O)O)C(=O)O"
"ODANACATIB"	"CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NC3(CC3)C#N"
"L-740093"	"CN1C(=O)[C@H](NC(=O)Nc2cccc(C)c2)N=C(N3CC4CCC(CC4)C3)c5ccccc15"
"CHEMBL1801250"	"ONC(=O)c1cnc(nc1)N2C[C@@H]3[C@H](C2)[C@H]3NCc4ccc5cc(F)ccc5n4"
"ZINC ION"	"[Zn+2]"
"CIMETIDINE"	"CN\C(=N/CCSCc1nc[nH]c1C)\NC#N"
"CHEMBL1910970"	"NC(=O)[C@H](CCCNC(=N)CF)NC(=O)c1ccccc1C(=O)O.OC(=O)C(F)(F)F"
"FOSMIDOMYCIN"	"ON(CCCP(=O)(O)O)C=O"
"RALOXIFENE"	"Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4"
"CHEMBL235658"	"Oc1ccc(NC(=O)CCCc2ccc(cc2)c3ccccc3F)cc1"
"RUBOXISTAURIN"	"CN(C)C[C@@H]1CCn2cc(C3=C(C(=O)NC3=O)c4cn(CCO1)c5ccccc45)c6ccccc26"
"CICLESONIDE"	"CC(C)C(=O)OCC(=O)[C@@]12O[C@@H](O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]23C)C6CCCCC6"
"MISOPROSTOL"	"CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC"
"NABILONE"	"CCCCCCC(C)(C)c1cc(O)c2C3CC(=O)CCC3C(C)(C)Oc2c1"
"CHEMBL326418"	"CC(CF)NC[C@H](O)COc1cccc2[nH]c3ccccc3c12"
"SF-1126"	"NC(=N)NCCC[C@H](NC(=O)CCC(=O)OC[N+]1(CCOCC1)C2=CC(=O)c3cccc(c3O2)c4ccccc4)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)[O-]"
"ROLOFYLLINE (CHEMBL52333)"	"CCCN1C(=O)N(CCC)c2[nH]c(nc2C1=O)C34CC5CC(CC3C5)C4"
"ESCITALOPRAM"	"CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c3ccc(F)cc3"
"CARBENOXOLONE"	"CC1(C)[C@H](CC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2C(=O)C=C4[C@@H]5C[C@](C)(CC[C@]5(C)CC[C@@]34C)C(=O)O)OC(=O)CCC(=O)O"
"BALANOL"	"OC(=O)c1cccc(O)c1C(=O)c2c(O)cc(cc2O)C(=O)O[C@@H]3CCCNC[C@H]3NC(=O)c4ccc(O)cc4"
"CHEMBL522758"	"CN(C)c1ccc(NC(=O)Nc2ccnc3c(F)ccc(F)c23)cc1"
"APICIDIN"	"CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]4CCCCN4C1=O"
"SB-203580"	"C[S+]([O-])c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4"
"BUPARLISIB HYDROCHLORIDE"	"Cl.Nc1cc(c(cn1)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F"
"PHENYL BIGUANIDE"	"NC(=N)NC(=N)Nc1ccccc1"
"AZD-4769"	"OC(=O)CSC(CCCc1ccccc1)c2ccc(OCc3ccc4ccccc4n3)cc2"
"PI-103"	"Oc1cccc(c1)c2nc(N3CCOCC3)c4oc5ncccc5c4n2"
"ANAMORELIN"	"CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C1)C(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N"
"NS-398"	"CS(=O)(=O)Nc1ccc(cc1OC2CCCCC2)[N+](=O)[O-]"
"ADENOSINE TRIPHOSPHATE"	"Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O"
"ZAFIRLUKAST"	"COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)NS(=O)(=O)c5ccccc5C"
"BMS-777607"	"CCOC1=C(C(=O)Nc2ccc(Oc3ccnc(N)c3Cl)c(F)c2)C(=O)N(C=C1)c4ccc(F)cc4"
"ALOISINE A"	"CCCCc1c([nH]c2nccnc12)c3ccc(O)cc3"
"CAPMATINIB"	"CNC(=O)c1ccc(cc1F)c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2"
"CHLORPROTHIXENE"	"CN(C)CC\C=C/1\c2ccccc2Sc3ccc(Cl)cc13"
"DIHYDROTETRABENAZINE"	"COc1cc2CCN3C[C@@H](CC(C)C)[C@H](O)C[C@@H]3c2cc1OC"
"CHEMBL1213492"	"CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(cc3)C(=O)NO)ccc2c1"
"DALBAVANCIN"	"CN[C@H]1C(=O)N[C@@H]2Cc3ccc(Oc4cc5cc(Oc6ccc(cc6Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]5NC(=O)[C@@H](NC2=O)c8cc(Oc9cc1ccc9O)cc(O)c8Cl)c%10ccc(O)c(c%10)c%11c(O[C@H]%12O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%12O)cc(O)cc%11[C@H](NC7=O)C(=O)NCCCN(C)C)c4O[C@@H]%13O[C@@H]([C@@H](O)[C@H](O)[C@H]%13NC(=O)CCCCCCCCC(C)C)C(=O)O)cc3"
"BORTEZOMIB"	"CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O"
"CHEMBL1256682"	"O[Si](CCCN1CCCCC1)(C2CCCCC2)c3ccc(F)cc3"
"CLOTIAZEPAM"	"CCc1cc2C(=NCC(=O)N(C)c2s1)c3ccccc3Cl"
"TREPROSTINIL"	"CCCCC[C@H](O)CC[C@H]1[C@H](O)C[C@@H]2Cc3c(C[C@H]12)cccc3OCC(=O)O"
"DABRAFENIB MESYLATE"	"CC(C)(C)c1nc(c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(s1)c4ccnc(N)n4.CS(=O)(=O)O"
"TOLRESTAT"	"COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(=O)O"
"NIFEDIPINE"	"COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C"
"CHEMBL171632"	"CC1(C)OCC2=NN(C(=C(C#N)C2=C1)N)c3ccccc3"
"ROMIDEPSIN"	"C\C=C\1/NC(=O)[C@@H](CS)NC(=O)[C@H](CC(=O)C[C@H](OC(=O)[C@@H](NC1=O)C(C)C)\C=C\CCS)C(C)C"
"CHEMBL1562432"	"CC[C@@H]1CN2C(=O)N(C)c3nc([nH]c3C2=N1)c4cc(Cl)cc(Cl)c4Cl"
"DACOMITINIB"	"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4"
"ISOGUVACINE"	"OC(=O)C1=CCNCC1"
"DEXTROMETHORPHAN"	"COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1"
"CHEMBL274866"	"FC(F)(F)c1cccc(c1)N2CCNCC2"
"ETHOTOIN"	"CCN1C(=O)NC(C1=O)c2ccccc2"
"ATRASENTAN"	"CCCCN(CCCC)C(=O)CN1C[C@@H]([C@H]([C@@H]1c2ccc(OC)cc2)C(=O)O)c3ccc4OCOc4c3"
"CHEMBL432038"	"N[C@@](CC1c2ccccc2Oc3ccccc13)([C@H]4C[C@@H]4C(=O)O)C(=O)O"
"DULOXETINE"	"CNCC[C@H](Oc1cccc2ccccc12)c3cccs3"
"PENTAGASTRIN"	"CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N"
"LICOFELONE"	"CC1(C)Cc2c(c3ccccc3)c(c(CC(=O)O)n2C1)c4ccc(Cl)cc4"
"LEVETIRACETAM"	"CC[C@H](N1CCCC1=O)C(=O)N"
"ACITRETIN"	"COc1cc(C)c(\C=C\C(=C\C=C\C(=C\C(=O)O)\C)\C)c(C)c1C"
"AT-9283"	"O=C(NC1CC1)Nc2c[nH]nc2c3nc4cc(CN5CCOCC5)ccc4[nH]3"
"ODANACATIB"	"CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)c2ccc(cc2)S(=O)(=O)C)C(F)(F)F)C(=O)NC3(CC3)C#N"
"FARNESYL DIPHOSPHATE"	"CC(=CCC\C(=C\CC\C(=C\COP(=O)(O)OP(=O)(O)O)\C)\C)C"
"PHACLOFEN"	"NCC(CP(=O)(O)O)c1ccc(Cl)cc1"
"MIDOSTAURIN"	"CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9"
"TYRAMINE"	"NCCc1ccc(O)cc1"
"CHEMBL309760"	"C[C@H](N)CN1CCc2ccc(Br)cc12"
